review_text,sentiment
i booked this hotel for relatives visiting from europe and i had really mixed feelings about the hotel rooms one was a room with two beds beautiful decorations at the walls new furniture and a lot of space the other was a room similar to a studio kitchenette with flatware bedroom living room with a sofa bed but not particularly nice the sofa bed and the carpets looked old and outdated the bedroom was pretty dark and cold the hotel midtown location is extremely convenient for transportation lirr subway shopping macys and to visit manhattan the rooms are clean and the service outstanding,Positive
this certainly isnt a bad hotel but it just suffers in comparison to other affinia propertiesthe affinia was offering specials when we booked and the manhattan was less than the dumont where weve stayed before and loved it since the mahhattan was kittycorner from penn station and we were flying into newark its easy to get to penn station from newark we thought wed try the manhattan the dumont is so much better that we will pay the extra next time we actually had what the staff told us was one of the best roomsa remodeled studio it was very comfortable and it was very quiet surprisinglyit was in the back of the hotel but there was a fire station below and i expected noise but luckily no our room had a nice view of the empire state building the staff made such a big deal about how nice our room was that id hate to stay in one of the regular guest roomsmy assumption is that they arent very nice at all hotel pros location near penn station madison square garden empire state buildingactually we easily walked all over down to chelsea for the high line even to greenwich village union square and the flatiron district i like that its in the southern part of midtown to be closer to interesting neighborhoods like those midtown to me is boring the staff was very nice as was our room flat screen tv good bed and pillows quiet room with sitting areahotel cons the hotel is a bit worn all over they charge for internet access which seems a relic of the pasteven cheap chain motels give you free wifi or offer a computer for free room cons there were closets but only hangerswe had to call down for more hangerswe had a coffeemaker but upon arising realized there was no coffeewe had to call down for that too they told us that was their policy it would have been nice to know that the night before there was an office nook but the bathroom was tinyi wonder why they didnt try to give more space to the bathroom nrather than put in an office my husband couldnt even shower without the curtain sticking to him the shower was so small the bathroom only had one towel hook even though there were room for morethe bagel maven on the corner across the street and south is a great place for breakfast or lunchthey do hot breakfasts like eggs with either table service downstairs or you can order at the counter and take it upstairs great bagels and bagel sandwiches too,Positive
this hotel is in a great location and very central to everything the rooms are much larger than most ive seen in downtown new york but they are very tired looking rooms were clean and staff friendly and helpful with reservations etcthe walls are pretty thin and i could hear the whole conversation of the woman next to us also the fire and police sirens were going off all night so bring ear plugs if you are a light sleeper we had two issues that caused us grief one was the key not working on the second and third day when we would get back from shopping and need to hurry for dinnertheatre on one occasion i called guest services for ice to be delivered to my room and after hours plus a second phone call i went down to the front desk and got it myself the internet fee is day for convenient location this is a good spot but my husband and i will probably not go back until they renovate it,Positive
first time to nyc from australia and this was recommended to me fantastic hotel and great location right in the heart of it all short stroll to times sqaure macys penn station right across the road to starbucks and borders will be staying there again the next time im in nyc staff were tremendous and very helpful considering i was on my own and first timer gave me great tips on where to go around the city my first time nyc experience came with staying at this great hotel very clean and the bed was very comfy sort of an art deco feel and i absolutely love this theme home away from home,Positive
hotel affinia manhatten was in a great location right across the street from the penn station the room was fairly large with double beds pull out sofa bed and a full kitchen with stove and fridge the restroom was pretty small but the large room kitchen and closet space over come that minor defect friendly fast service for a great budget rate i would definably be returning,Positive
fabulous central location helpful polite friendly and knowledgeable staff the room was spacious clean and comfortable double beds the handy kitchenette and hour store next door were a real bonus we are returning next year and will stay here again amazing value for money,Positive
this was our first visit to new york we were very nervous as to what to expect we need not have worried we stayed for days we had a studio room the bathroom was small but perfectly adequate the addition of the kitchenette was helpful although not essential as everything you could possible need food and drink wise was within easy walking distance the bed was incredible comfortabe and we had a great view from the th floor the location of the hotel is certainly one of its best selling points times square is only mins away not too close for the noise th and th avenue minutes away maceys on your doorstep if i had to make any critism of this hotel the corridors to the rooms are looking a bit worn and dowdy they could do with a bit of brightening upi must add a great thanks to maureen on the conciege desk she recommended the blue fin restaurant to us for our th wedding anniversary dinner she also booked it for us she made sure we had a great table and that the staff new of our special occasion it turned out to be a wonderful night would we stay there again absolutely,Positive
just returned from a great stay at the affinia manhatton great location right opposite penn station and madison square gardens concert venue so transport throughout the city is fab check in was quick very friendly and we were given what we asked for if you want a view of the city expect noise take earplugs because it would be a shame to ask for a quiet room as you will be put at the back nothing nicer than sitting in a chair last thing at night and looking out over the ny scene wonderfull ask for a high floor corner refurbished room then you will have a duel oulook over sides the room was spacious and newly decorated the bathroom unfortunatley was not but useable for a short stay a beaufull s building was very happy with our stay would recommend and would stay there again,Positive
the staff was friendly the rooms were beautiful and very clean and the location cannot be beat but the traffic was so loud that we thought the windows must be open they werent im a pretty deep sleeper so it didnt bother me too much but my mom was kept up a lot of the night because of the noise we were on a high floor too i imagine it would have been worse on the lower floorsall in all id recommend it and stay there again particularly because we were able to find a superb deal online but id bring earplugs,Positive
i stayed at the affinia manhattan at the end of may it was a birthday trip that i had decided to go solo on at the last minute from the moment i checked in the hotel staff was super nice and accomodating although the room i had originally booked wasnt ready yet they held my luggage amp offered me three other choices of rooms in the meantime while i wait for my room that was just the beginning of the large spectrum of wonderful service throughout my entire stay the staff was so courteous amp helpful from the insider scoop on what to see to the subway linesstops to take for my daytoday sightseeing to directions on the theater for my broadway show i felt in good hands the entire time it was the most personable conciergestaff experience ive ever had a hotel they were just downright amazing the room was magnificent definitely elegant yet handy with a microwave to heat up leftovers in the kitchen room was a good size with a nice bathroom amp walkin closet i also went online to their website w my reso and ordered specialty pillowsextras up to free of charge all in all a great trip with a great hotel i will definitely stay here again,Positive
as far as nyc hotels go this one is one of the best large rooms with kitchens that have stove fridge microwave everything to make your stay more comfortable and convenientthe beds were excellent and staff very accomodatingright across from msg and penn stationwithin walking distance of times square,Positive
stayed here for just one night while attending a trade show at the javitts center the location was very convenient for this purposethe suite was very large and the bathrooms were a major plus the staff was very attentive room service was prompt and the food good room was well supplied and clean i would definitely stay here again,Positive
this is our second stay in this welllocated hotel right across from penn station and madison square gardens we love the homelike feel the convenience of the kitchen and the friendliness and helpfulness of the staff the beds are so perfectly comfortable and the room is so spacious this place is a great valuethe only downside is that the window treatments are a bit dirty and need cleaning likewise the carpet could use a shampoo but overall a fabulous and happy stay,Positive
so glad we stayed at this hotel we were leaving by train so it was helpful that penn station was right across the street this hotel had the best location to min walk to times square originally i wanted to book a hotel in times square but now so glad i didnt times square was so loud so crowded so busy that it was nice having a hotel close enough to walk there but far enough from all that noise everything is walking distance from this hotel i wish the rooms could have been a little updated but we didnt mind too much because it was super clean my husband and i are planning another trip to new york and will definitely by staying at this hotel again,Positive
stayed at the affinia manhatten an excellent friendly hotel in the perfect location to get to all the great sites directly opposite madison square garden one block away from macys and about minutes walk from times square i cannot wait to go back,Positive
just got back from a four night stay and have to say would recommend to anyone location comfort friendly staff were all excellent the view of the empire state building from the room was a bonus just across from penn station made airport transfer from newark a doddle a tip try the breakfast diners around the hotel they are half the price of those on times square,Positive
i visited the affinia manhattan in august with my partner as part of an extended group i normally stay further up midtown near the park but as we were travelling with a group of friends we thought it would be more fun to all stay in the same hotel we got a fantastic rate through ebookers for six nights at the affinia and flights from a uk airport for approximately per person having read a few of the reviews on here about the hotel we were a bit worried about what we would be getting i would thoroughly recommend this hotel if you are on a budget and can get a good deal the lobby is lovely and the staff are very friendly we stayed on the th floor and although this isnt very high in nyc terms we had no problems with noise our room was large with a super king size bed which was very comfortable the kitchen area had a large fridge which was handy for bringing in snacks and drinks and there were also facilities to make teacoffee etc the bathroom was particularly small and i would say this was one of the negative sides of the room we had a small shower no bath and small sink and toilet i would recommend asking for a room with a bath as one of our friends stayed in a room with a larger bathroom which was much nicer the room was very clean and comfortable although a little tired decor wise the wallpaper could do with replacing but for the cost you cannot complain the room service from niles bar was excellent very quick and delicious the bar itself is very modern with a good drinks list and attentive bar staff the hotel is in a handy location if you are looking to get to all areas of manhattan its a minute walk from chelsea which is a nice area to wander around and about a minute walk from times square the subway is across the road from this hotel which i would recommend using as it is quick and reliablei would recommend this hotel if you are on a budget and looking for a central location at a good rate,Positive
arrived saturday september and stayed nights will who is super friendly and helpful checked us in with no hassles offered us a complimentary ugraded room bathrooms living room bedroom with double beds and kitchenette our group consisted of women celebrating a th birthday so the bathrooms were much appreciated the kitchenette had a full size fridge small stove sink microwave dishes utensils pots amp pans etc we did use the fridge the micro and the dishes the living room had a pullout sofa bed we did not use a tv and desk the bathrooms were nice sized for ny i would guess the water was always hot and the water pressure was great there are a lot of electrical outlets to plug in chargers phones etc no worries there the room was much cleaner than i expected housekeeping did a great job they even washed the dishes we never had to wait long for an elevator the location cant be beat right across the street from penn stationmadison square garden a short walk to times square empire state building shopping etc i was not bothered by any street noise as others have suggested we were on the th floor and had our windows open for fresh air there is a police and fire station just around the corner but that noise didnt bother me and i am a light sleeper we did walk a lot put in long days and were very tired we felt very safe at all times not the least bit uncomfortable there is a bagel shop just across the street with really good food a market and a dunkin donuts right next door restaurants delis bars and shops are everywhere carl the doormanbellhop was always friendly and helpful every person i encountered at the front desk was friendly helpful courteous etc i just cant say enough good things about the entire friendly staff this hotel is in the perect location get a map from the concierge and go we walked everywhere to central park the financial district so ho no ho little italy the brooklyn bridge etc granted it is a hike but youll be amazed at what you will see that you might otherwise miss i will recommend this hotel to everyone traveling to ny and would definitely stay here again on a return trip thanks affinia manhattan,Positive
painless checkinhelpful staffnothing too much troublegreat roomscomfy bedsadded bonus of a kitchenexcellent location for exploring ny concierge booked us a table at niles restaraunt next door we were highly delighted check out our review of niles on tripadvisor,Positive
we enjoyed our stay at the affinia mamhatten the rooms were large by ny standardsthe rooms furniture rugs were a bit old but clean bathrooms were very small but clean the vents were quite dusty the only bad part was the sofa bed was very uncomfortable it was like sleeping on a metal cage i would not get a room with a pull out again,Positive
affinia manhattan is the best hotel i stayed in nyc the service is first class rooms are spacious and the kitchen and office were a nice surprise i will be coming back,Positive
wellpriced we got a deluxe br suite with baths and used the lr for a second bedroom fold out couch was just fine tv in each room helped kitchen was clean and nice most but not all of their quotdeluxequot br suites have baths some have only one and some of those with one have it in the bedroom rather than in a central location so beware and be sure you get the bath if that is what are you want or the one where it is central rather than in the bedroom what is totally wierd is that the website explains none of this and the prices of all three options are identical go figurestaff helpful quite cheery we stayed opn the d floor which essentially eliminated the street noise of the penn station across the street and madison square garden block north we could walk easily to chelsea or to time square area subway short block from hotel dunkin doughnuts for cheap breakfast great coffeee just outside the side street entrance d street,Positive
we loved the affinia manhattan our room on the th floor was very spacious and meticulously clean the kitchenette was very useful for breakfast and snacks we had no noise problems and slept like babies the staff was very helpful and pleasant from the checkin receptionist to the concierge bellhops and cleaning staff we would definitely stay here again when we visit new york cityjoan bhabha canada,Positive
booked for dollars per night for double roomexcellent location for every subway line across penn station very helpful staff impressive lobbyour room at th floor not near elevatorsask for one spacious with kitchen small but fine bathroomroom was a bit old with noisey ac some sirens for nearby fire station but its in the center of manhattanwould recomment it at a good price,Positive
its situated on th avenue aka fashion avenue between st amp th street west opps madinson square which is an idea spot to do your sightseeing and shopping we did alot of walking every where because most of the places we wanted to see are within walking distance ie emprire state building maceys amp times squarethe rooms are good size which includes a mini kitchen which was handie and the beds are big comfortable staff were friendly amp helpful,Positive
we stayed in this hotel for our th birthday treat i have only complements to pay to the staffwho were friendly and helpfulour room was a studio suite with two double beds which had to be the most comfortable i have ever slept in a hotelthe room was clean and on the th floor we didnt suffer noise problemsthe bathroom are small but functional and cleaned to a high standardthe location was excellenti loved new york and will return with my family next time and i will stay at this value for money hotel thanks to the staff who provide for thier excellent service,Positive
excellent location on the corner of th and st clean and spacious rooms although tiny bathroom but clean and functional helpful friendly staff wouldnt hesitate to stay here again,Positive
a friend and i booked this hotel as part of a girls getaway package for the most part we loved the hotel the location cant be beat its right by madison square garden the staff were very friendly and helpful we easily got recommendations and reservations for dinner via the concierge and for nyc it was a great value the room was soso ive stayed at the waldorf and w hotels in nyc so maybe im a bit spoiled but this seemed like an apartment conversion with the big kitchen small bathroom etc the furniture was dated and seemed to be rundown while lobby seemed grand the rooms were not if youre looking for luxury keep looking,Positive
spacious room with king sized bed and tv kitchen had huge fridgefreezer and cooker which allowed us to eat what and when we wanted the shower was superb staff were friendly and helpfull very good value for money i cannot wait to return to nyc and hopefully can book in the affinia,Positive
stayed here with my partner from dec th th in hotel is so easy find just ask for madison square garden and its literally right opposite it only mins to times square after check in we went to our room which was on a high floor spotless room with big bedroom big living area and decent kitchen but toilet was tiny and i mean tiny it didnt have a bath and only had a really small shower area i asked the guy at reception if we could get a room with a bath and he said he had a room on a lower floor but would rather locate us on a higher floor less street noise if we were willing to wait an extra day and promised us the room would be lovely we opted to wait for the high floor and when we arrived back on day from being out all day we were assigned to our new room which already had our luggage moved there by the staff this room was fab no extra charge massive bedroom with ensuite massive bathroom all you could ask for highly reccommed this hotel clean helpful good value spaciousand very central,Positive
the hotel is in a great location opposite madison sq garden and block from maceys penn station is over the rd so its really easy to use the subway and buses the staff in the hotel were really helpful our room was a really good size and had everything we needed could maybe be modernizedwe would definitely stay here again was really good value,Positive
fantastic proximity to penn station and room was sooooooo cleanbrand new carpet and two wonderfully clean and stylish bathroomstrue the sirens on the fire trucks were noisy but hey we were in central manhattan not an ocean retreatkitchen really handy but we ate out or had take awaystwo lovely bakery cafes one right opposite and one on next block called europa cafe fab breakfasts and snacks in both found staff friendly and efficient king kong cuddly toy on bed was a nice touch but then realised it cost we left it on rd floor and kids loved thatwe did request itwas really concerned by some reports i had read but our experience was wonderful and i loved the space this place offered as a retreat from the full on experience that is new york did not pay for wifi as this is a rotten hidden charge that i personally resent as so many really low cost places manage to include in the room cost hope mr affina is reading this,Positive
when we booked this hotel it was ranked much higher on ta around in nyc now down to th and to be honest i can see why it has fallen down the rankings slightlydont get me wrong we enjoyed our stay here the lobby area is impressive and our room was spacious complete with a small kitchen the restaurant was not cheap but equally not overly expensive by ny standards and the breakfast was very good as was the service location was also good near msg and penn station in that we could walk pretty much everywhere in manhattan the only time we got a bus was when visiting liberty islandhowever it was very noisy there were constant sirens outside our room and at times it was difficult to sleep the night we arrived a bomb went off in times square one of the concierge staff also seemed rather haughty we booked tickets to a broadway show there but he gave the impression that he was almost doing us a favour and was quite pushy in getting us to spend money it made us feel slightly uncomfortable so after that we only approached the concierge desk when he wasnt on dutywhile i would stay here again if required as the price was not unreasonable around for nights i think if we ever visit nyc again i will look for something better,Positive
ive taken my two children on trips into the city for the day but usually dont stay overnight because it is so expensive i was able to get a great rate for this hotel on priceline so we decided to stay for two nights this hotel is an excellent value i dont think you can beat it the staff were great at the front desk amanda is one i remember plus the people at the concierge desk were excellent we were able to buy our tix to the american museum of natural history there and saved lots of time online when we arrived the kitchen in the room was great because we went to the little grocery store one door down and got milk for cereal in the morning and yogurt we didnt use the stove or microwave because we ate out for lunch and dinner but it would be great to have a kitchen for a longer stayi thought the hotel was in very good condition yes you can go elsewhere to get brand new carpeting and fancier bedspreads and furniture but you will pay a lot more for that we hardly spent any time in the room and were more than happy with the quality of the accommodations we really loved this hotel and would definitely stay again,Positive
recently stayed at this hotel after successfully bidding for the room on priceline the room was large by ny standards with a sitting area and a small kitchenette the bed was very comfortable there was a mix up when we returned to the hotel after an excursion to western ny for several days we arrived very late at night we had called to give notice of our late arrival but there were no rooms available when we reached the hotel through great customer service the staff managed the situation very well and sent us to the affinia dumont for our stay also a very comfortable facility and our room was more than adequate,Positive
we stayed here for our honeymoon and after looking at their impressive website decided that this was the place for us we booked room only as we were planning to see relatives as well as all the usual sights despite the pretty lobby and friendly staff i was needless to say that i was very disappointed with the room it was small and quite tatty the carpet had seen better days as had the decor whilst i appreciate we hadnt booked a suite or a posher room i was disappointed that i spent all that money on a very very basic room you are quite simply paying for the location i would go back to the hotel however i would recommend booking a better room than we had,Positive
i stayed one night at the affinia manhattan because its close to penn station and i had an early train i literally was standing on the train platform within minutes of leaving my room in the morning cant beat the locationi was amazed at the large size of the room and that it was a suite complete with a separate kitchen the room was comfortable very clean and updated i also had a drink at the bar downstairs which is friendly and stylishand stylish is not something you find a lot of in the madison square garden districtbut the real plus was that i accidentally left my beautiful leather agenda book in the room and didnt realize it for days after leaving i called housekeeping and they said they had it and once i gave them my fedex number they shipped it to me immediately i received it two days later with the cash still inside that i leave there for emergencies i was so thrilled with the level of service and can only say i highly recommend this hotel thank you so much affinia,Positive
stayed for a night in the affinia manhattan great location right across from penn station the lobby is impressive but my room was a little quotwornquot updated bedding and furniture but the carpet had seen better days and the window ac was loud there was a kitchen didnt use but would be useful for a longer trip my annoyance was that there was a squealing noise coming through my bathroom vent called front desk and they said theyd take care of it but it persisted i was out for most of the evening but no attempt by the management to leave me a note or message,Positive
im a return visitor to affinia manhattan because i like the place in fact i know the first names of four of the doormen and if i dare walk by the entrance theyll yell from across the streeti got better wifi coverage in the hotel than i expected this time it was good enough for a full session of online meeting rooms synchronous fullduplex video and also strong enough to support qik outside the front door tooi also figured out that the quietest rooms are above the th floor around the corner from the bank of elevators room offered sound sleep much appreciated after a longer than expected trip from ireland,Positive
i have stayed a this hotel at least a dozen times over the past years for busines it would not be my choice but this is where my business colleagues wish to stay however i have more good than bad to say about this hotelfirst the good the location is excellent the hotel is across the street from penn station and madison square garden you have easy access to the trains and subways i take the subway most of the time it is perfectly safe to do so and not very expensive the subway can get very crowded the beds are extremely comfortable it is very nice to have a kitchen area with full size refierator to store snacks and leftovers and keep beverages cold you can walk to times square or take take the subwaynow the bad the area is very noisy the windows are old and have window air conditioning units i have been as high as the th floor and still heard honking and sirens all night also i have had rooms with maintenance issues for example during one recent trip a window in the room had no shade,Positive
